Sample,Treatment
1,Treated
2,Treated
3,Treated
4,Treated
5,Treated
6,Treated
7,Treated
8,Treated
9,Treated
10,Treated
11,Treated
12,Treated
13,Treated
14,Treated
15,Treated
16,Control
17,Control
18,Control
19,Control
20,Control
21,Control
22,Control
23,Control
24,Control
25,Control
26,Control
27,Control
28,Control
29,Control
30,Control
31,Control
32,Control
33,Treated
34,Treated
35,Treated
36,Treated
37,Treated
38,Treated
39,Treated
40,Treated
41,Treated
42,Treated
43,Treated
44,Treated
45,Treated
46,Treated
47,Treated
48,Treated
49,Control
50,Control
51,Control
52,Control
53,Control
54,Control
55,Control
56,Control
57,Control
58,Control
59,Control
60,Control
61,Control
62,Control
