"Treatment3","Year","year.xaxis","mean","SD","SE"
"Control","2012",2012-01-01,2.17916666666667,5.72503273008429,1.04524318957418
"Control","2013",2013-01-01,1.92083333333333,2.03696532368253,0.371897285545577
"Control","2014",2014-01-01,4.3,5.8717984673675,1.07203882456715
"Control","2015",2015-01-01,0.0907258064516129,0.176657853807375,0.0317286871884755
"Control","2018",2018-01-01,0.358870967741935,0.852381428388938,0.153092223887809
"Control","2021",2021-01-01,6.89112903225806,8.2398922889074,1.47992834321731
"Treated","2012",2012-01-01,0.60752688172043,1.5590526486589,0.280014121838025
"Treated","2013",2013-01-01,0.847701149425287,1.01478870404032,0.18844153157502
"Treated","2014",2014-01-01,3.2258064516129,3.67613635419358,0.660253580186545
"Treated","2015",2015-01-01,0.806451612903226,1.42735138954895,0.256359877418276
"Treated","2018",2018-01-01,3.25806451612903,6.1801880604368,1.10999454317702
"Treated","2021",2021-01-01,8.21370967741935,7.75202887074753,1.39230548665089
