"Treatment3","Year","year.xaxis","mean","SD","SE"
"Control","2012",2012-01-01,11.6972222222222,10.4498777086222,1.9078779147276
"Control","2013",2013-01-01,10.2972222222222,9.98602191968013,1.82318982171662
"Control","2014",2014-01-01,9.30416666666667,8.09551568966481,1.47803218595547
"Control","2015",2015-01-01,6.68145161290323,9.82401599767532,1.76444536037834
"Control","2018",2018-01-01,7.82056451612903,10.065394794991,1.80779827217309
"Control","2021",2021-01-01,15.633064516129,11.8407812015241,2.12666708393269
"Treated","2012",2012-01-01,15.2876344086022,15.509060056853,2.78550941566247
"Treated","2013",2013-01-01,14.8706896551724,15.7577706046263,2.92614454134248
"Treated","2014",2014-01-01,16.2701612903226,20.2775814420701,3.64196113927552
"Treated","2015",2015-01-01,17.9677419354839,19.9462550720141,3.58245316651219
"Treated","2018",2018-01-01,17.2096774193548,19.6399992335151,3.5274479941411
"Treated","2021",2021-01-01,15.2741935483871,16.7862300759072,3.01489592267424
