"Treatment3","Year","year.xaxis","mean","SD","SE"
"Control","2012",2012-01-01,3.33888888888889,3.27257363346684,0.597487466715476
"Control","2013",2013-01-01,2.575,3.59599806830867,0.656536419585887
"Control","2014",2014-01-01,2.4625,5.38908039464991,0.983906965452866
"Control","2015",2015-01-01,2.95564516129032,3.82175085136282,0.686406715930104
"Control","2018",2018-01-01,5.10483870967742,6.53293712453428,1.17335014537391
"Control","2021",2021-01-01,7.375,6.87446967651566,1.2346912025245
"Treated","2012",2012-01-01,3.29099462365591,4.65710355671131,0.836440490873102
"Treated","2013",2013-01-01,2.17816091954023,2.73441871397539,0.507768807809319
"Treated","2014",2014-01-01,3.58064516129032,4.42854711727136,0.795390542537326
"Treated","2015",2015-01-01,5.09677419354839,6.03925610049051,1.08468241594564
"Treated","2018",2018-01-01,5.17338709677419,6.86375424325696,1.23276665389772
"Treated","2021",2021-01-01,4.79435483870968,4.71097437584758,0.846115975614502
